gen,best,mean,std
0,-4.814967155605037,-5.517511020347794,0.3750229469693977
1,-4.892326397249537,-5.590479117811611,0.32596220059542025
2,-4.701074739576001,-5.538671690341085,0.3431751866558253
3,-4.941642422609304,-5.468440792913814,0.325188276111854
4,-4.701074739576001,-5.462487460364007,0.3421636178058683
5,-4.774686556919247,-5.4493300818861545,0.3727652513511315
6,-4.701074739576001,-5.512002636882391,0.34543880376267533
7,-4.814967155605037,-5.492322239422827,0.3622162882640322
8,-4.774686556919247,-5.515332140057282,0.33551040917652764
9,-4.989382826778736,-5.5763350811119015,0.3150878810332807
10,-4.941642422609304,-5.493871307629901,0.36762139262244825
11,-4.919980925828125,-5.5102535790520815,0.3343101118215256
12,-4.892326397249537,-5.426134948873991,0.35425064455109145
13,-4.892326397249537,-5.536624009506602,0.3840347014515934
14,-4.892326397249537,-5.53456868609734,0.3201484750131951
15,-4.814967155605037,-5.488641184665008,0.33683433922180384
16,-4.919980925828125,-5.500302262629,0.3638864723300835
17,-4.892326397249537,-5.525771130540731,0.3561481962378364
18,-4.774686556919247,-5.439812871120599,0.36107213605571176
19,-4.892326397249537,-5.422342020571346,0.29208917600877904
20,-4.892326397249537,-5.5186006060194455,0.37010196883313007
21,-4.701074739576001,-5.310760415325043,0.3917503669741641
22,-4.566358570717468,-5.487271711592173,0.4683745779877041
23,-4.564348191467836,-5.345646954179384,0.6267804684344134
24,-4.339852845348307,-5.2162087974007845,0.755664616637612
25,-4.564348191467836,-5.255261918805971,0.6180898828616189
26,-4.48863636973214,-5.1139104538634275,0.6246570845855679
27,-4.591080911409369,-5.631193135319474,0.5612274134495463
28,-4.182763707162736,-5.3598641185878275,0.7067155941149837
29,-4.339852845348307,-4.962747066239154,0.5012740800845354
30,-4.339852845348307,-4.885450334124473,0.5639811237400356
31,-4.255894295945459,-5.0832580035769706,0.6000078461077611
32,-4.255894295945459,-4.958373498328511,0.7301426894086347
33,-4.255894295945459,-5.0543927686515815,0.5358797055950428
34,-4.358485110230762,-4.99118255907163,0.5894400751999265
35,-4.405804943265787,-4.710978653146606,0.2651247402361555
36,-4.161703687105261,-5.0210492772485775,0.8480993014476612
37,-4.171382040806762,-5.009635392752628,0.8060532384504959
38,-4.171382040806762,-4.8952816614977746,0.6022633762212951
39,-4.171382040806762,-4.647767340461625,0.33787150764162854
40,-4.378128506254517,-5.102492328436912,0.726618300202444
41,-4.171382040806762,-4.819719727831513,0.4907191901592908
42,-4.171382040806762,-5.245948048205546,0.749138844210826
43,-4.171382040806762,-5.096826194942395,0.7795555930132285
44,-4.2279314973245805,-4.956573252912937,0.7319677688945732
