gen,best,mean,std
0, -1.0477552789821036, -3.58575527898211, 1.2182142668676996
1, -0.5677552789821023, -3.4807552789821097, 1.0847354516194285
2, 47.95262782095372, -2.8107607049902024, 5.81871037978644
3, 88.22901301948916, 1.2164827866666859, 17.960777857930005
4, 88.58901301948917, 10.496863914546163, 30.58296443784725
5, 88.48521039683078, 44.55874658557365, 39.51589022822116
6, 91.9695620786076, 54.550648509454845, 39.99410407686605
7, 93.3928282285399, 60.5588023433769, 36.26188212164154
8, 93.93679627126203, 62.220033126338784, 38.085706766950075
9, 93.93679627126203, 70.67372261222647, 34.093785639565425
10, 93.93679627126203, 63.26316895645585, 38.911595098349
11, 93.94013357217581, 64.01243297458883, 37.06319916154352
12, 93.93679627126203, 70.02390309298515, 36.47576930995906
13, 94.21825298494036, 68.64896754301364, 35.67110069559312
14, 94.20482618476618, 71.45856449771088, 34.26834719114949
15, 94.16385026742617, 65.88703501971472, 39.97934770939475
16, 94.36013357217581, 74.87148496693314, 34.37990085087555
17, 94.2117323025988, 68.59626370854019, 38.157333442208085
18, 94.27605369405454, 72.86110393672479, 35.100319161207864
19, 93.93679627126203, 68.31741515838286, 39.472388774434535
20, 94.36013357217581, 70.58033135813315, 36.86665253740705
21, 94.05657488308076, 64.17615704909845, 40.742705207351094
22, 94.04278772623589, 64.46878901071112, 41.56887713690006
23, 94.15605369405455, 72.61153519264842, 36.51384237921627
24, 94.16278772623589, 64.43393901707377, 40.571073493525915
25, 94.03520306650935, 64.70524653093354, 41.056558774676795
26, 94.16278772623589, 73.2783377799866, 34.71154223146996
27, 94.16278772623589, 69.13931315562574, 38.72330842695406
28, 94.16278772623589, 73.50302444108938, 35.02814947040772
29, 94.04278772623589, 68.17836736170541, 37.91519512054538
30, 94.09605369405455, 66.70439229510608, 38.23230060565147
31, 94.16278772623589, 74.2035177998216, 33.950067914096124
32, 94.09605369405455, 68.94751509692013, 37.906538199508475
33, 93.93679627126203, 70.47593287437819, 37.29043367466566
34, 93.50168263345198, 63.336236817608004, 40.138400027884366
35, 93.93679627126203, 66.80612202763662, 38.96105275832057
36, 93.93679627126203, 67.26562546253722, 36.27771588346077
37, 93.93679627126203, 63.95912199259516, 39.088325862982956
38, 93.93679627126203, 71.97433408821568, 35.539447948883705
39, 93.93679627126203, 70.38942018470233, 36.39453431036672
40, 93.93679627126203, 66.95187135656406, 38.07013596900429
41, 93.93679627126203, 76.57786761135432, 32.81339950818389
42, 93.93679627126203, 67.2307024909102, 37.769775114459364
43, 93.93679627126203, 72.13882860098344, 35.28827793576889
44, 93.93679627126203, 69.85013426499172, 37.40830743956849
45, 93.93679627126203, 75.26601139251208, 33.995286236641306
46, 93.93679627126203, 79.16455335151504, 27.40456741165291
47, 93.99289246928254, 80.1324450675567, 28.30475528151843
48, 93.93679627126203, 73.84429436841137, 33.51758068600907
49, 94.13212383121042, 76.877887503559, 31.469561646970426
