gen,best,mean,std
0,-5.2812442600505385,-5.7096378997448385,0.4024675022947902
1,-5.278114659230517,-5.711409118315006,0.43636259948552936
2,-5.033332915896756,-5.6821249710534545,0.45085430725488757
3,-5.033332915896756,-5.6652743419896465,0.5126292332836595
4,-5.278114659230517,-5.76962951532367,0.4631764289284059
5,-5.033332915896756,-5.647418177621648,0.4538628267086859
6,-5.033332915896756,-5.667986133625109,0.4815598909587386
7,-5.2812442600505385,-5.767291237756666,0.4369801863055624
8,-5.220290215078324,-5.786987815770529,0.4692594182860874
9,-5.033332915896756,-5.72571431414588,0.4655370785689169
10,-5.220290215078324,-5.7199677709691255,0.42284521128221353
11,-5.2574953720277815,-5.72477674814746,0.4191071699970175
12,-5.033332915896756,-5.760251551959083,0.49921188730053534
13,-5.033332915896756,-5.609333643762487,0.4219228792962851
14,-5.033332915896756,-5.719884931984289,0.46877436197632094
15,-5.079605805868101,-5.724671819078768,0.4560532780816132
16,-5.2574953720277815,-5.713931951536378,0.38955707006109697
17,-5.033332915896756,-5.359373854799797,0.17971202926227392
18,-4.780792887942537,-5.405741092378548,0.3381224184440928
19,-5.042187300473737,-5.468274680738179,0.282452005717081
20,-5.042187300473737,-5.556634817447088,0.40415057196925863
21,-5.049455836563982,-5.443497406014172,0.3026023211963081
22,-5.112371542018255,-5.382568874568202,0.28463008890645747
23,-4.665446556711588,-5.520690090023939,0.4364563716065226
24,-4.780792887942537,-5.393728534090115,0.4102298028355407
25,-4.866229967172916,-5.251710951346941,0.2849677016103405
26,-4.812428747060234,-5.287780040032831,0.30568294388313755
27,-5.016067816405707,-5.282634800902631,0.2727945587489969
28,-4.805688936465571,-5.35728879195986,0.33485566038278464
29,-4.992105136299499,-5.436125287901744,0.3675476495536682
30,-4.805688936465571,-5.440605311268493,0.3869637249093076
31,-5.016067816405707,-5.369521902624105,0.29451272601600126
32,-4.800557883952839,-5.375365488333275,0.42051769613798
33,-4.800557883952839,-5.396931869195112,0.4263400371996136
34,-5.016067816405707,-5.396738234818063,0.39980676277923705
35,-4.800557883952839,-5.401551123048455,0.5213014064782032
36,-4.894887376831753,-5.3942733507578176,0.36720537162166744
37,-4.640267340313116,-5.2412080160408205,0.3487014730699806
38,-4.640267340313116,-5.239907312973253,0.42212309364151895
39,-4.638388740947224,-5.534688607709699,0.6908880939051271
40,-4.638388740947224,-5.328786080833491,0.4712755950097011
41,-4.7279241269335515,-5.327182361306589,0.3961661590992803
42,-4.894887376831753,-5.376664763766707,0.45598478303364376
43,-4.7418774237206165,-5.468474670233069,0.4247588751575909
44,-4.648639438395207,-5.142134432870302,0.327250795957274
