total_max, total_mean, total_std, max_E2, mean_E2, std_E2,max_E5, mean_E5, std_E5, 
-87.29261079, -47.95723118, 34.13939648, -39.26020709, -15.79763591, 13.50186327, -87.29261079, -80.11682645, 8.95641313, 
-89.78668021, -49.69057958, 33.69118587, -39.26020709, -21.21298285, 16.11626386, -89.78668021, -78.16817631, 19.71068287, 
-90.62873283, -30.96551194, 32.40403288, -75.19788162, -19.79460628, 18.03339995, -90.62873283, -69.29401069, 20.77163035, 
-90.62873283, -36.58404236, 31.32064250, -75.19788162, -30.08583572, 16.12750765, -90.62873283, -72.39346713, 20.37473287, 
-90.62873283, -38.35201913, 31.59163243, -75.19788162, -32.78175858, 15.95908235, -90.62873283, -74.22366638, 20.29676648, 
-91.05057091, -39.42146864, 32.24077617, -75.19788162, -33.42423789, 15.73430316, -91.05057091, -76.13873908, 20.81885563, 
-91.05057091, -39.84577629, 32.31840636, -75.19788162, -34.07072425, 14.55283477, -91.05057091, -77.03101733, 20.16572193, 
-91.06288884, -40.02501110, 32.12908656, -75.19788162, -32.90785443, 15.68344020, -91.06288884, -77.07039158, 20.53362870, 
-91.93011908, -41.14721870, 32.32054414, -75.19788162, -34.19471041, 15.92486082, -91.93011908, -78.37822352, 20.26140353, 
-91.93011908, -42.06719575, 32.70502647, -75.19788162, -34.58177987, 15.33901900, -91.93011908, -80.87984834, 17.74665034, 
-91.93011908, -42.61009611, 32.70651046, -75.19788162, -35.35428340, 14.62940595, -91.93011908, -82.23427704, 14.63916296, 
-91.93011908, -42.92200674, 32.74657112, -75.19788162, -35.60663342, 15.98173832, -91.93011908, -82.28114965, 14.84700708, 
-91.93011908, -43.09371208, 32.84930992, -75.19788162, -36.63646057, 16.10933842, -91.93011908, -82.27486008, 14.99632348, 
-91.93011908, -43.33807627, 32.35104347, -75.19788162, -36.89177813, 16.78218862, -91.93011908, -81.96757332, 13.35778863, 
-91.93011908, -43.19418618, 32.30500912, -75.19788162, -35.99199361, 17.34786721, -91.93011908, -81.92210444, 13.32883488, 
-91.93011908, -42.88932655, 32.19224971, -75.19788162, -36.37821363, 17.31570709, -91.93011908, -81.00305197, 14.27426564, 
-91.93011908, -43.01997336, 32.05659258, -75.19788162, -36.37840958, 17.31495487, -91.93011908, -81.01253980, 14.27003342, 
-92.24835395, -42.91396756, 32.10879008, -75.19788162, -36.76214475, 17.34263604, -92.24835395, -80.82009706, 14.42923529, 
-92.24835395, -42.80608133, 31.48000580, -75.19788162, -37.53363910, 16.82558922, -92.24835395, -79.09012743, 16.74486678, 
-92.24835395, -42.99267016, 32.28838737, -75.19788162, -37.14890258, 18.07774517, -92.24835395, -80.42017398, 16.04740435, 
-92.24835395, -42.96565035, 32.06285567, -75.19788162, -37.53376975, 18.14872590, -92.24835395, -79.69031730, 17.04388090, 
-92.24835395, -42.79015272, 32.30212456, -75.20090735, -36.76372893, 18.56648545, -92.24835395, -79.93363701, 17.16173960, 
-92.24835395, -42.96969652, 32.49737630, -75.20090735, -36.63264016, 18.45677003, -92.24835395, -80.72741059, 16.33677479, 
-92.24835395, -43.23699719, 32.43118070, -75.20090735, -36.24819519, 19.70268522, -92.24835395, -80.63612211, 16.71405349, 
-92.24835395, -43.82329040, 32.37710725, -75.20090735, -37.14850124, 19.96264934, -92.24835395, -81.11235288, 16.19869398, 
-92.24835395, -43.90047332, 32.30458727, -75.20090735, -37.40563058, 19.87203936, -92.24835395, -81.08465200, 16.19049891, 
-92.24835395, -43.52977883, 32.24988845, -75.20090735, -37.01924902, 20.32478079, -92.24835395, -80.35585782, 16.80553256, 
-92.24835395, -43.53370852, 32.33579682, -75.20090735, -37.27587515, 20.23519136, -92.24835395, -80.36550478, 16.81142592, 
-92.24835395, -43.88740933, 32.62106730, -75.22544845, -38.69133591, 20.57624391, -92.24835395, -80.65540379, 16.60045756, 
-92.24835395, -43.88129200, 32.70750646, -75.22544845, -38.18035825, 21.00146588, -92.24835395, -80.89141965, 16.36504296, 
-92.24835395, -43.70813931, 32.68433751, -75.22544845, -37.27766709, 20.57828556, -92.24835395, -81.01100403, 16.23398571, 
-92.24835395, -43.80895938, 32.77156180, -75.22544845, -37.27679682, 20.40911012, -92.24835395, -81.31201013, 16.28470963, 
-92.24835395, -44.27661210, 32.45999215, -75.22544845, -37.53703268, 20.37479375, -92.24835395, -81.43720906, 15.96377734, 
-92.24835395, -44.23216965, 32.54221312, -75.22544845, -37.53649985, 20.37463161, -92.24835395, -81.43418396, 15.96246272, 
-92.24835395, -44.36897640, 32.30749518, -75.22544845, -38.18051072, 20.27417478, -92.24835395, -81.07456685, 16.03797813, 
-92.24835395, -44.28221641, 32.23465410, -75.22544845, -38.05133477, 20.63512657, -92.24835395, -80.81281520, 15.97964409, 
-92.24835395, -44.46389084, 32.38572887, -75.22544845, -38.82262539, 20.26822372, -92.24835395, -81.10174174, 16.03385613, 
-92.24835395, -43.21814314, 32.83120523, -75.22544845, -35.99401266, 20.64424688, -92.24835395, -80.44996114, 17.42474860, 
-93.01482256, -43.35862673, 32.83502629, -75.22544845, -36.25130042, 20.95711927, -93.01482256, -80.48184221, 17.44585186, 
-93.01482256, -43.44499901, 32.77788784, -75.22544845, -36.50778281, 20.77073668, -93.01482256, -80.48380355, 17.44701717, 
-93.01482256, -43.31875465, 32.88535744, -75.22544845, -36.12297585, 21.13014155, -93.01482256, -80.49050963, 17.45091266, 
-93.01482256, -43.23305762, 32.94218251, -75.22544845, -35.73683347, 21.53103871, -93.01482256, -80.48953793, 17.45098774, 
