gen,best,mean,std
0,-2.772588722239781,-4.639821692580968,1.1172161173786876
1,-2.772523112239781,-4.834612075324574,1.0461176363058575
2,-2.70805020110221,-4.758366209488027,1.108111779232932
3,-2.772588722239781,-4.766662374299592,1.040543895502168
4,-2.772588722239781,-4.758175202985337,0.908741122132629
5,-2.70805020110221,-4.44379200022434,1.0387626464598776
6,-2.772588722239781,-4.7700891611102945,0.8218026083468264
7,-2.772523112239781,-4.706964118881707,1.0884658117130248
8,-2.772588722239781,-4.627171067377657,0.9811277751861195
9,-2.70805020110221,-4.846953563013214,1.0053490182332279
10,-2.772588722239781,-4.679413521934028,0.9342763795863595
11,-2.70805020110221,-4.7225067212212775,1.1067695388160892
12,-2.772523112239781,-4.779101467188985,1.0152478318969034
13,-2.772588722239781,-4.716705908558206,1.0183064228331418
14,-2.772588722239781,-4.62973808199957,1.0146789169242216
15,-2.772588722239781,-4.799667769280005,0.9282985526038992
16,-2.70805020110221,-4.544197898799719,0.9751477967249297
17,-2.772523112239781,-4.880881871112723,1.062876912827277
18,-2.70805020110221,-4.200219358501959,1.0488521507181396
19,-2.70805020110221,-3.7662039560247225,1.199541659183862
20,-2.70798459110221,-3.6101607983584976,0.9505069698274103
21,-2.70798459110221,-3.3307217975144723,0.7451088598415041
22,-2.70798459110221,-3.405087033889526,0.7842342337387639
23,-2.70798459110221,-3.42602795950693,1.0255627969621322
24,-2.70798459110221,-2.7144974922159673,0.019363753221525767
25,-2.70798459110221,-3.8287377602748593,1.1560851318537169
26,-2.70798459110221,-2.949621895932315,0.4856607201416299
27,-2.70798459110221,-3.2793841609837306,0.9883130410296707
28,-2.70798459110221,-3.176634754161001,1.010725416812524
29,-2.70805020110221,-3.50900968337233,1.179614436332699
30,-2.70798459110221,-3.2892976871477586,0.8074490180958095
31,-2.70798459110221,-3.2394823222324236,1.2055231313403145
32,-2.70798459110221,-3.168634017813841,0.6743169642516383
33,-2.70798459110221,-2.8200961986408983,0.33618173361197873
34,-2.70805020110221,-2.901065154956085,0.5578639587611958
35,-2.70798459110221,-2.7205599543976104,0.0375511349810884
36,-2.70798459110221,-3.2282283871214448,1.055963769490061
37,-2.70798459110221,-2.70803707910221,2.6244000000019697e-05
38,-2.70798459110221,-2.9612491121784266,0.6284025202757415
39,-2.70805020110221,-2.749726112574902,0.08586186595957732
40,-2.70798459110221,-2.7080436401022103,1.968300000001477e-05
41,-2.70798459110221,-3.0265754469000754,0.5221903505515835
42,-2.70798459110221,-2.895541765631101,0.2265552687878066
43,-2.70798459110221,-3.318169142283834,0.9198461414245503
44,-2.70798459110221,-3.0600176233042906,0.9101275833929882
