gen,best,mean,std
0,-5.209218023303214,-5.536401838058079,0.39525899310230306
1,-5.224696913713202,-5.555994477391751,0.38318615515180954
2,-5.209218023303214,-5.602166677795236,0.39285129000314606
3,-5.214935757608986,-5.564326744466916,0.38693933928087576
4,-5.214935757608986,-5.602580757967585,0.3707490540830375
5,-5.214935757608986,-5.623717824259085,0.4007979571592725
6,-5.214935757608986,-5.63219251164018,0.41138818369782276
7,-5.224696913713202,-5.591040554632006,0.41291166368688165
8,-5.214935757608986,-5.621305260932764,0.39365715631729203
9,-5.214935757608986,-5.607777221740817,0.3933171060313901
10,-5.214935757608986,-5.626241623082083,0.3494340554062629
11,-5.19289124089021,-5.559917090649666,0.32623540572901605
12,-5.19289124089021,-5.60125303910986,0.3854689054901768
13,-5.224696913713202,-5.622290205179116,0.41650627962134734
14,-5.214935757608986,-5.633309196187319,0.3603093536581148
15,-5.24932007062948,-5.58749339509814,0.3595368986058228
16,-5.19289124089021,-5.604991194702715,0.3656142036219355
17,-5.19289124089021,-5.630082860417262,0.41877710628127274
18,-5.19289124089021,-5.319551403768791,0.13214559814412483
19,-5.0369526024136295,-5.351590170943789,0.27450008071279036
20,-5.19289124089021,-5.52155758334654,0.3362107798363409
21,-5.19289124089021,-5.45433996946573,0.23999538943004858
22,-5.19289124089021,-5.493323205074218,0.3204518236740205
23,-5.19289124089021,-5.339130687929477,0.1095235233192564
24,-5.187320195840755,-5.31340995067784,0.12999722595359653
25,-5.181783550292085,-5.304951417974895,0.08596050120635981
26,-4.927253685157205,-5.218553611594965,0.11338196775306658
27,-5.093750200806762,-5.288017071540168,0.1772433284320423
28,-5.093750200806762,-5.237379919563653,0.08190543709246456
29,-4.90527477843843,-5.155837569402893,0.10689454840907411
30,-4.927188075157205,-5.13429904517064,0.10073884277266544
31,-4.927188075157205,-5.291401981100915,0.22560865714118353
32,-4.927188075157205,-5.200426818072792,0.1718601164495942
33,-4.927188075157205,-5.296794390495907,0.24424363097885976
34,-4.927188075157205,-5.335300770142116,0.23117336874429145
35,-4.962844630259907,-5.239692797551615,0.12581792627790533
36,-4.919980925828125,-5.174897931042184,0.16608979177832203
37,-4.976733742420574,-5.2655543302298975,0.19630664060512157
38,-4.927188075157205,-5.1976252385428925,0.1372726166284218
39,-4.927188075157205,-5.207961915586637,0.1381865035840513
40,-4.927188075157205,-5.249665159099793,0.18401576371255665
41,-4.927188075157205,-5.230628913378405,0.20018561217497352
42,-4.983606621708336,-5.322971999609799,0.3924006917721956
43,-5.0106352940962555,-5.315208210867047,0.1617848557498564
44,-5.129833104923073,-5.281096958398567,0.08518199099559101
