Maximum_Fitness,Mean_Fitness,Generation,Maximum Standard Deviation,Mean Standard Deviation
-90.28500588000001,-31.732406729999997,1,0.11122045636306412,0.8541110738807234
-90.96632079666666,-37.39104701333333,2,1.0076734193092278,0.31707313201094817
-91.75866475666668,-38.42698944,3,0.7568716842515445,0.899583202208458
-91.75866475666668,-39.28918096,4,0.7568716842515445,0.415451272046953
-91.75866475666668,-40.29119900333333,5,0.7568716842515445,0.41204268952184137
-91.75866475666668,-40.599752323333334,6,0.7568716842515445,0.16269566256200926
-91.93577542333334,-41.27576348,7,0.4519786267929156,0.11589032080499397
-91.93577542333334,-41.44027922,8,0.4519786267929156,0.21548279409214738
-91.93577542333334,-41.393182126666666,9,0.4519786267929156,0.3767575706518282
-92.11540166333334,-41.603971136666665,10,0.1507235612786058,0.7932199888849764
-92.11540166333334,-41.558718596666665,11,0.1507235612786058,0.7995828450767435
-92.11540166333334,-41.59484334333333,12,0.1507235612786058,0.8780066747204569
-92.11540166333334,-41.566511553333335,13,0.1507235612786058,0.49025235655661953
-92.15685158333334,-41.85353295666667,14,0.21370770444241127,0.5526738238404493
-92.15685158333334,-42.00998239333333,15,0.21370770444241127,0.14829141249873604
-92.15685158333334,-42.371770356666666,16,0.21370770444241127,0.23619870855132052
-92.15685158333334,-42.393504826666664,17,0.21370770444241127,0.290036119615427
-92.15685158333334,-42.36713581,18,0.21370770444241127,0.16449409591976458
-92.15685158333334,-42.5364626,19,0.21370770444241127,0.3208097346074826
-92.15685158333334,-42.96510626666666,20,0.21370770444241127,0.34810929780148214
-92.15685158333334,-42.94201017666666,21,0.21370770444241127,0.4908607063994998
-92.30909479333333,-43.02439331333333,22,0.15628820081863834,0.7586582071045903
-92.30909479333333,-43.23227029,23,0.15628820081863834,0.993406063144665
-92.30909479333333,-43.33179877,24,0.15628820081863834,0.7371207876701581
-92.30909479333333,-43.220404386666665,25,0.15628820081863834,0.8860282049436459
-92.30909479333333,-43.15957933333333,26,0.15628820081863834,1.0811401918088916
-92.30909479333333,-43.518984429999996,27,0.15628820081863834,1.173246558268011
-92.30909479333333,-43.60963899666667,28,0.15628820081863834,0.7723328920274735
-92.30909479333333,-43.66400887333333,29,0.15628820081863834,0.7681365824039081
-92.30909479333333,-43.72164802333333,30,0.15628820081863834,0.6414728140697533
-92.30909479333333,-44.05843131,31,0.15628820081863834,0.7337673612436949
-92.30909479333333,-43.96706981333333,32,0.15628820081863834,0.5902165812934361
-92.30909479333333,-43.97656532333334,33,0.15628820081863834,0.6428384170750457
-92.30909479333333,-44.00938318000001,34,0.15628820081863834,0.8304983869179571
-92.30909479333333,-44.114088269999996,35,0.15628820081863834,0.934991631929237
-92.30909479333333,-44.06324662666666,36,0.15628820081863834,0.9877537358177889
-92.30909479333333,-44.17904641333334,37,0.15628820081863834,1.0150429858127923
-92.32565596,-44.66269562333333,38,0.12778711369485923,0.8908949531154864
-92.32565596,-44.66212833333333,39,0.12778711369485923,0.9717785996355632
-92.32565596,-44.52618869666666,40,0.12778711369485923,1.0214665106624925
