,Generation,Avg_Maximum_Fitness,Avg_Mean_Fitness,Avg_Maximum_Std,Avg_Mean_Std
0,0.0,-5.243158661879861,-5.59467579249542,0.06675895728538211,0.12904398125546288
1,1.0,-5.155490029005767,-5.613507312810096,0.1436491646666217,0.13386137644526291
2,2.0,-5.129513306990064,-5.587413113258637,0.13978695823439158,0.1097346885613703
3,3.0,-5.172103470125739,-5.605705215682338,0.0724982163966095,0.12464226556158568
4,4.0,-5.145036166962206,-5.6078762646847,0.1358219847539751,0.12251021975600956
5,5.0,-5.178401052728536,-5.6017123377327795,0.07275645771594015,0.11756852580366775
6,6.0,-5.1756065092000885,-5.606300355809095,0.07243423015895561,0.11092518245470273
7,7.0,-5.189334577024534,-5.6152873891557125,0.055389720550718176,0.11252013922781352
8,8.0,-5.19684024107311,-5.626354782622101,0.034611842335945796,0.13209441434717106
9,9.0,-5.173220708576814,-5.607815767872805,0.0578662276614718,0.12446565438693356
10,10.0,-5.1908023420767035,-5.615681595669926,0.04469389855260455,0.1214031161928905
11,11.0,-5.195358414253866,-5.614470794857244,0.06098674550434691,0.11796087365616233
12,12.0,-5.130714377430657,-5.6163884123300845,0.10626814171867685,0.12699015102887054
13,13.0,-5.194374534890959,-5.6037437645863815,0.0765597585645784,0.11216894548893397
14,14.0,-5.156659243071855,-5.59284119975039,0.10998438117970243,0.12767598620585371
15,15.0,-5.15646063952876,-5.596770244577728,0.11493582163967173,0.1168924328196507
16,16.0,-5.186887868206073,-5.573025974165811,0.04471953991748203,0.10401440152778427
17,17.0,-5.163173234284818,-5.5181624345545135,0.06028807201538873,0.10441038705892684
18,18.0,-5.096023767628408,-5.3991548157606974,0.16242146661039455,0.06802591790279242
19,19.0,-5.135108446742562,-5.389779564551327,0.08680312975322771,0.09106027969209275
20,20.0,-5.105934916412706,-5.411672687411654,0.08063712710971256,0.1252976306880987
21,21.0,-5.115557197399033,-5.415984754073431,0.07941072584806948,0.12194354294129293
22,22.0,-5.175457298343233,-5.3874487487655065,0.06404939013723257,0.10077265512286598
23,23.0,-5.066170232219649,-5.352436846006748,0.18551705087411924,0.10243107672189844
24,24.0,-5.065586272830446,-5.363281481742327,0.14379655015665627,0.12609910583089345
25,25.0,-5.080025146358893,-5.3163670013616535,0.13408022242734574,0.07711922579708455
26,26.0,-5.032310903733891,-5.294976534030153,0.14023484919346654,0.06943686379719263
27,27.0,-5.064623383036229,-5.325763645857282,0.11686740399550602,0.056417975372222554
28,28.0,-5.045169563200791,-5.275184018179605,0.15170432266640171,0.06026452094653468
29,29.0,-5.053450381651501,-5.309731829486246,0.11733000715371927,0.08154239797310596
30,30.0,-5.016995009308429,-5.281962992116249,0.1529404153663217,0.08644629969552155
31,31.0,-5.034934146145387,-5.2838203010757825,0.1202164747768744,0.06326552141536855
32,32.0,-5.017014034236061,-5.30494562070081,0.13145662879312459,0.06687048124069912
33,33.0,-5.0239356800101955,-5.300635562125299,0.13501751005325857,0.04569110972120998
34,34.0,-5.021580683236681,-5.294074450940036,0.11583026775831981,0.06489697592030291
35,35.0,-4.982774521018153,-5.347978224515989,0.14316578355186116,0.09874821008758367
36,36.0,-5.027750311133003,-5.315016488966603,0.11595203475035527,0.08668205736936445
37,37.0,-5.027783083134009,-5.284608027040738,0.15924737614300094,0.04852124630129784
38,38.0,-5.004093154959894,-5.288692952069163,0.1670119338994403,0.11860478935800317
39,39.0,-5.005868033782595,-5.314677480140991,0.1649705682545306,0.09938902054573906
40,40.0,-4.971871130286284,-5.328967018962338,0.15609555738896794,0.09299603247745798
41,41.0,-4.9529243485997645,-5.280062582335562,0.12299221981450206,0.05537296747306986
42,42.0,-4.984363032946193,-5.258227457832136,0.08640161442344474,0.0629474370188812
43,43.0,-4.973435552312561,-5.303790258564238,0.13719929036191056,0.0756149915505793
44,44.0,-4.990688948168278,-5.309362336649694,0.1621231680719058,0.10525511863151307
