gen,best,mean,std
0,-2.772523112239781,-4.634749358026433,1.2085808220443697
1,-2.70805020110221,-4.880169966458899,1.2100324358373156
2,-2.70805020110221,-4.936191431262561,1.1701654720149859
3,-2.70805020110221,-4.870944184382463,1.2724964002660055
4,-2.70805020110221,-4.815883026605569,1.2501946912328894
5,-2.70798459110221,-4.9571872747707975,1.1256591801626141
6,-2.70798459110221,-4.920433303246798,1.1427235289317306
7,-2.70805020110221,-4.983755677440427,1.1515880262792175
8,-2.70805020110221,-4.979537567682665,1.141056496745119
9,-2.70805020110221,-4.94250781269585,1.1351604621592306
10,-2.70805020110221,-4.726998226036774,1.3771073809289927
11,-2.70805020110221,-4.941036312322468,1.1553154145781097
12,-2.70805020110221,-4.995686387105979,1.1901062663630664
13,-2.70798459110221,-4.960816780629589,1.1248072751385962
14,-2.70805020110221,-4.958028223793986,1.1288281311632062
15,-2.70798459110221,-4.968481585656328,1.1668723024579786
16,-2.70805020110221,-4.773750280880251,1.2685482871351392
17,-2.70798459110221,-4.592457259792535,1.4130988186053584
18,-2.70805020110221,-4.377497275843286,1.4049104412680327
19,-2.70798459110221,-3.684035333525066,1.3527566270198725
20,-2.70798459110221,-3.855842618097357,1.4092663075476712
21,-2.70798459110221,-3.8619719950577514,1.1199654029822896
22,-2.70805020110221,-3.352752713951324,1.0478210726009545
23,-2.70805020110221,-3.579345282105961,1.1096156173236962
24,-2.70805020110221,-3.501477262990613,1.0567968341489413
25,-2.70805020110221,-3.4477478280720626,1.122028972727696
26,-2.70798459110221,-3.439306269958935,1.0368848201652756
27,-2.70798459110221,-3.203907677702508,0.9940275110124407
28,-2.70805020110221,-3.3053358294314856,1.0666097938838208
29,-2.70805020110221,-3.4528205925771958,0.9928534096433445
30,-2.70798459110221,-3.5311247281765885,1.0746083105938202
31,-2.70798459110221,-3.0460387362211643,0.6958528929397645
32,-2.70805020110221,-3.1998804181148364,0.7863355027387141
33,-2.70798459110221,-3.7365497985402287,1.0637902921936089
34,-2.70798459110221,-3.107666889160277,0.8082435320136772
35,-2.70805020110221,-3.2177659907433283,0.9860115275440818
36,-2.70798459110221,-2.877414985188995,0.37837619193968447
37,-2.70805020110221,-2.7868893761386375,0.23651752510928103
38,-2.70798459110221,-3.097283961040694,0.9993038301529356
39,-2.70805020110221,-2.7927799871409307,0.25418935811616106
40,-2.70805020110221,-3.450597497807368,1.1662928629430036
41,-2.70798459110221,-2.7205533933976107,0.037553325801733616
42,-2.70798459110221,-2.839740984065504,0.2766260331336523
43,-2.70798459110221,-2.70802395710221,3.214220440482498e-05
44,-2.70798459110221,-2.733454536625125,0.04186411368721896
