gen,best,mean,std
0, -5.771441123130016, -5.789477328161199, 0.01664434239009105
1, -5.099866427824199, -5.783287203237346, 0.07877846363242018
2, -5.081404364984463, -5.761550535043662, 0.13026697347703264
3, -5.081404364984463, -5.645375361892059, 0.2781373171358782
4, -5.081404364984463, -5.616297539172032, 0.29933912758425996
5, 29.061145827020486, -5.049495963277903, 3.8960864081127027
6, 29.094839672806955, -3.4095252084961616, 7.383530603850216
7, 83.2878568636295, 5.170012847252936, 14.552129049098337
8, 29.094839672806955, 8.844433100082744, 12.526893447264182
9, 29.094839672806955, 9.158648834344902, 13.651654000062639
10, 29.11370815711134, 13.600175522235933, 13.848215191268206
11, 81.9422485858342, 14.463593426845666, 14.1405088922177
12, 29.094839672806955, 13.768511108419734, 13.153645359656794
13, 29.094839672806955, 12.883573095953954, 12.09609535018311
14, 29.094839672806955, 14.186224080668925, 11.910217402207683
15, 29.094839672806955, 12.206606678844627, 12.723223473289192
16, 83.29408741338014, 13.357352053910404, 15.19625289289803
17, 83.29408741338014, 15.201911225009207, 17.294721736863323
18, 81.9422485858342, 17.48570086160795, 21.007186506278
19, 83.306666195587, 28.837754738639216, 30.366079526048402
20, 83.29408741338014, 31.507830672100216, 33.04683399104862
21, 83.29408741338014, 35.05844531197182, 31.45819085623314
22, 83.29408741338014, 36.463468061456275, 32.12151252477129
23, 83.31301542326565, 35.16149381112151, 34.99087299709696
24, 83.29408741338014, 33.79231421869196, 33.97297585422186
25, 83.29408741338014, 34.11604845211158, 30.536089135128947
26, 88.10266680666237, 37.85426758517851, 35.22112213001582
27, 83.29408741338014, 36.515765681257236, 29.32587731646685
28, 83.29408741338014, 43.92459364296319, 32.07610654820089
29, 83.29408741338014, 44.8145990967671, 34.216006716778885
30, 83.29408741338014, 38.605358849611136, 32.72241330598399
31, 83.29408741338014, 31.48358523444646, 30.33673461324705
32, 83.31301542326565, 44.234903513106985, 33.88770239630828
33, 83.306666195587, 37.40786883266958, 34.68402463263576
34, 83.306666195587, 36.373931881819324, 33.196130537506455
35, 83.306666195587, 35.133716891949064, 33.26758894603875
36, 83.29408741338014, 36.11461062416309, 31.13557020714297
37, 83.29408741338014, 36.87573861750927, 34.863406266295975
38, 83.306666195587, 35.89737479544423, 35.30582177252403
39, 83.29408741338014, 38.56712728050732, 33.45693784620139
40, 83.306666195587, 39.38755350742653, 32.73409144423976
41, 83.76686086099808, 46.21216489757824, 35.75484082991865
42, 85.24656499504417, 40.52763083993954, 34.9564744952356
43, 85.24656499504417, 31.97368493080355, 33.79078980096472
44, 83.77309141074872, 39.99515771625811, 32.855679487902925
45, 83.76686086099808, 46.532090861401485, 33.83114002356376
46, 85.24656499504417, 41.74955515507402, 33.24426420234547
47, 85.24656499504417, 40.0652074596138, 32.31645306992693
48, 83.77309141074872, 39.42660418065246, 37.01136215483027
49, 83.77309141074872, 33.25683102056348, 33.97540031887838
