gen,best,mean,std
0, -5.187385805840755, -5.236152564537752, 0.04523665931855052
1, -5.187385805840755, -5.231616121868264, 0.04535024809578642
2, -5.187385805840755, -5.236921080666584, 0.059761215089407516
3, -5.187385805840755, -5.245917547475612, 0.12169260352838052
4, -2.933235252896719, -5.217427269795035, 0.2821274228348368
5, -2.842506399506957, -5.174581456412616, 0.3771167106312563
6, -2.842506399506957, -4.921625644537228, 0.8234826878041202
7, -0.11428978410617407, -4.060053870408075, 1.2499530812922877
8, 76.91419251771141, -1.3749062637590004, 12.423266925245436
9, 76.91419251771141, 3.2648587157023785, 22.578115928035917
10, 76.91419251771141, 30.62898448399211, 39.96371015491648
11, 76.91419251771141, 40.72125576901958, 39.92876621010448
12, 76.91419251771141, 50.80050653624156, 37.05286868187197
13, 76.91419251771141, 50.6603179470178, 36.92263287542774
14, 76.91419251771141, 48.10118451346667, 37.9206593905483
15, 76.91419251771141, 53.3716080523885, 36.237526659235414
16, 76.91419251771141, 51.81689969073678, 37.01657899568989
17, 76.91419251771141, 42.5245338774576, 39.37056108427472
18, 76.91419251771141, 45.58582775253408, 39.13261616485998
19, 76.91419251771141, 51.840985491005405, 36.909039674697155
20, 76.91419251771141, 55.66468910674173, 34.741400128023585
21, 76.91419251771141, 53.89314937024153, 35.79530301000668
22, 76.91419251771141, 43.46498364043324, 39.481930324411614
23, 76.91419251771141, 56.84820830110673, 34.12145088706703
24, 76.91419251771141, 50.79212034366846, 37.100889911306076
25, 76.91419251771141, 57.72877376447745, 33.72859389135407
26, 76.91419251771141, 48.559063924381675, 38.288156588438596
27, 76.91419251771141, 57.59418063454099, 33.76696985037278
28, 76.91419251771141, 55.76528573043559, 34.88870501100558
29, 76.91419251771141, 56.64537803330851, 34.17442041735728
30, 76.91419251771141, 59.69021650424311, 32.35771775920838
31, 76.91419251771141, 55.75797050414444, 34.47070602875177
32, 76.91419251771141, 52.74351864595464, 36.263203896901466
33, 76.91419251771141, 48.81319778394965, 37.453404708961585
34, 76.91419251771141, 50.951968071671516, 36.81500096846354
35, 76.91419251771141, 54.981351718827966, 35.445919414140185
36, 76.91419251771141, 40.710305939114086, 39.83752016257188
37, 76.91419251771141, 59.217112129461825, 32.48182979092984
38, 76.91419251771141, 43.18713521890938, 39.289119031602056
39, 76.91419251771141, 45.779282455107534, 38.82801544128841
40, 76.91419251771141, 44.87856982328894, 38.992222283507274
41, 76.91419251771141, 51.74104783518635, 36.634583273046914
42, 76.91419251771141, 43.72317196614881, 39.20927896899159
43, 76.91419251771141, 43.88976956467933, 39.15420532262657
44, 76.91419251771141, 46.010506392763304, 38.497386018583136
45, 76.91419251771141, 43.91978386250185, 39.09635434566227
46, 76.91419251771141, 44.992893361500606, 38.68139600153088
47, 76.91419251771141, 40.68362857187721, 39.45534439021466
48, 76.9229516978013, 44.7877410950476, 39.03761769243975
49, 76.91419251771141, 54.61850201650857, 35.44229955734777
