gen,best,mean,std
0,-4.932724377091197,-5.616586747976628,0.3150589326433168
1,-5.064995116644449,-5.729138185966688,0.2213215167651379
2,-4.559033781467836,-5.633360369095811,0.3564019335000539
3,-4.622432844112067,-5.7011680537082325,0.3765188307798236
4,-4.622432844112067,-5.700611858409736,0.32334880117019965
5,-4.622432844112067,-5.689125459053637,0.3780952355918048
6,-4.622432844112067,-5.708981826608001,0.3584981728993702
7,-5.364926255021851,-5.808106300957332,0.24210560946602133
8,-5.064995116644449,-5.740570825136198,0.2106396007514794
9,-5.064995116644449,-5.766463277125782,0.2865291257908166
10,-5.062463916813453,-5.734293018607888,0.23368985733368303
11,-4.622432844112067,-5.737323809560058,0.33508134894397607
12,-5.062463916813453,-5.742962620629513,0.29852873953868114
13,-5.10594547390058,-5.726253132419645,0.24805031519471948
14,-4.932724377091197,-5.726988708410145,0.26037003191185637
15,-5.10594547390058,-5.74890134322394,0.2754651112885356
16,-5.303304908059076,-5.744754035016603,0.21525295050011214
17,-4.622432844112067,-5.717347375327735,0.37929234625507874
18,-4.622432844112067,-5.621794619197947,0.35712842338376516
19,-5.402677381872279,-5.784478289012009,0.1400128209129024
20,-5.303304908059076,-5.7101752119608955,0.19396221805939737
21,-5.10594547390058,-5.750063050548176,0.23996462441598126
22,-5.061545273026967,-5.6841741835877455,0.254925818981708
23,-4.983606621708336,-5.5250533625734715,0.3376031366137234
24,-4.983606621708336,-5.52331144963844,0.30941489780161346
25,-4.838872676458591,-5.52236558721614,0.3983211340818361
26,-4.940592662609304,-5.840242567146064,0.47035810559525404
27,-4.940592662609304,-5.536715382358187,0.34816376657857573
28,-4.940592662609304,-5.566778246883824,0.42112663165613845
29,-5.342268641964811,-5.868610962455296,0.4142277113495269
30,-4.976668132420574,-5.634349530934865,0.4375371237151952
31,-4.976668132420574,-5.303160213548459,0.27066352543535627
32,-4.976668132420574,-5.4976353213562295,0.3826941382793634
33,-5.043425116919247,-5.689672677241537,0.415603592895364
34,-5.153291594497779,-5.499791001717057,0.2757155463776537
35,-4.961794870259907,-5.33271871361967,0.26858094934985455
36,-4.875197323201151,-5.190579396607195,0.23423630340993737
37,-4.543294782270004,-5.347557651382932,0.5171558589855407
38,-4.547552031467836,-5.329110349832674,0.4889253452987429
39,-4.543294782270004,-5.239814964348087,0.5646304672363691
40,-4.543294782270004,-5.206328274087307,0.5632202125732008
41,-4.540614937782324,-5.295502229023098,0.4659469483360334
42,-4.418831386554211,-5.369453379819097,0.7788246021542723
43,-4.458264222270004,-5.3437643694459735,0.6542492900272942
44,-4.2461253528884635,-5.436399532769331,0.7596052949407599
