gen,best,mean,std
0,-4.641277392182426,-5.708735099675163,0.4110680203092974
1,-5.3252750035869125,-5.815343155005808,0.259103821810081
2,-4.641277392182426,-5.75960017795561,0.4350066867659271
3,-4.641277392182426,-5.668527027201494,0.39926639510764034
4,-4.739294690599528,-5.714381258104401,0.35823872029550097
5,-4.641277392182426,-5.808580719057984,0.37700028634856353
6,-5.220355825078324,-5.786204665478207,0.3552934504684658
7,-4.641277392182426,-5.762955053016443,0.3688473800340466
8,-4.656841908723537,-5.760824300030429,0.3871871496876363
9,-4.641277392182426,-5.783589256532927,0.33442485615104256
10,-4.739294690599528,-5.767544416390841,0.42540969452957395
11,-5.3252750035869125,-5.781926265747758,0.3236979523394095
12,-4.656841908723537,-5.681205523279059,0.372988737063398
13,-4.641277392182426,-5.6565105870073324,0.44333184578408846
14,-4.739294690599528,-5.749701495531237,0.39784949754611193
15,-4.641277392182426,-5.750033373744081,0.34731616024926387
16,-4.641277392182426,-5.683739866226395,0.3616932237743812
17,-4.926361304748875,-5.70395135683169,0.3257531149350704
18,-4.641277392182426,-5.752731912562379,0.46404937914077676
19,-4.739294690599528,-5.537925507902951,0.4005997312566032
20,-4.656841908723537,-5.3437839083832035,0.5063360323944031
21,-4.397910918737988,-5.397024134962397,0.6960472544371102
22,-4.612714729276362,-5.159679955000198,0.5750329134161185
23,-4.400100682654517,-5.39514336143407,0.5868439579809152
24,-4.487392383638536,-5.217603003393252,0.6086597763395896
25,-4.209797405268114,-4.848399883098724,0.5216372338248186
26,-4.656841908723537,-5.504036028834918,0.6744509621883553
27,-4.269299652583247,-5.20811923310484,0.5503763362532819
28,-4.5868126268149245,-5.367438151908863,0.5143273269929454
29,-4.236509829760256,-5.319462297173294,0.8006005361651413
30,-4.275947611677629,-5.316660201142691,0.5875492125430628
31,-4.256336319630277,-4.669268933428665,0.31392699275903724
32,-4.256336319630277,-5.239137378721866,0.7616915467381942
33,-4.326205999590762,-5.15553237108054,0.61366260139434
34,-4.22982084160946,-5.351353669165817,0.7607247851676939
35,-4.188968703358924,-4.954221057977753,0.5258721862757746
36,-4.175926336778736,-4.692947117302603,0.38901837959542146
37,-4.100522246124232,-5.064266276689915,0.9317304595719009
38,-4.100522246124232,-4.521364012439281,0.4733533374754311
39,-4.161703687105261,-4.855358630806722,0.5316267164009596
40,-4.196277426329459,-4.862502582119545,0.5643986727153083
41,-4.175689929080001,-4.837990220226709,0.4988098892752277
42,-4.175689929080001,-4.827912024022889,0.6752661456494757
43,-4.1825593655294595,-4.852489527318285,0.39458899261612446
44,-4.1825593655294595,-4.825541186034454,0.40440526582864605
