gen,best,mean,std
0,48.256996812190515,6.771541178694585,17.529343921851677
1,39.28957298262513,6.7467632236805,14.224190007187232
2,30.25699681219052,4.875772633680927,11.247253226874287
3,48.17399989261955,5.77088886086652,14.544630986237685
4,48.256996812190515,8.093212228063706,15.854317135655386
5,48.17399989261955,6.240691123857781,13.834327863629463
6,48.17399989261955,5.923065444343702,15.417329577474627
7,48.256996812190515,6.4471326050349065,16.55272515606955
8,48.256996812190515,5.902830959603769,13.351776135003387
9,39.21003982910275,6.693947060056717,12.836575731618735
10,48.256996812190515,7.301814743487853,15.356669538234641
11,48.256996812190515,9.434162974895473,17.220810657680854
12,22.92246255609428,5.839484735759216,11.189797477673963
13,40.030186700424,7.142778599596781,13.657545700482503
14,40.030186700424,7.601905393822579,15.202203390042257
15,48.17399989261955,6.111883094318417,13.814483593045608
16,40.030186700424,9.340029234450075,14.553106352453538
17,48.256996812190515,8.503956735954024,18.48691710186726
18,48.17399989261955,13.451933526068967,19.212663009590685
19,39.15645558296864,11.064728031666041,15.373099337769554
20,48.299556426609314,16.099555996397154,18.2557440839942
21,39.48657125383502,14.254074461703517,13.332801891348183
22,48.737309811095116,15.465383912859153,17.410962553162985
23,66.81821644970792,17.94079400957431,20.763728398352043
24,66.25379680945984,27.191809082276542,19.32593550984053
25,48.10835578817423,27.458244955138014,18.43946653882469
26,66.29288973525112,36.86359293398999,20.248583123196514
27,66.29288973525112,34.81848129370713,21.318835900249667
28,66.29288973525112,33.16365860875677,20.921833407985506
29,48.26665872310225,27.798527425091873,14.24221409684889
30,39.989364705903746,20.24292932282483,17.221467759212562
31,75.01858578874553,26.998866980592066,28.18714419966414
32,66.13070308686622,24.603804623081793,18.31530907574563
33,66.25379680945984,30.63233368681794,22.228374631880687
34,74.70658072115351,26.284252626790106,27.760507003464994
35,66.3062678611973,43.9803074286405,18.031962410706427
36,74.70658072115351,49.27590183570432,17.000899613589887
37,66.3062678611973,53.715617019129425,13.95854123880817
38,66.30290651349459,41.745619145525765,22.908446250177764
39,75.25379680945984,52.71328676861335,16.23432626018285
40,66.27968822339258,31.10167785544287,20.44963797395882
41,75.23794861721983,40.28274378406651,27.711360538244172
42,75.23794861721983,50.125499123665215,17.51287440025087
43,75.20394224923463,54.57255319073054,17.07862914088153
44,66.49874178945527,48.3435565132113,21.599578809570506
