gen,best,mean,std
0, -5.359124860886363, -6.068927390535101, 0.29415958154040106
1, -5.3428669218895335, -6.101940980804206, 0.34231488041186797
2, -3.9436892307832254, -6.0471252466229775, 0.3968552253684614
3, 77.44474292847462, -1.617395612054926, 15.32795169762889
4, 79.72358261329813, 10.963498243965187, 28.659476916020747
5, 87.37337277892979, 36.328689413306606, 39.046881448816734
6, 92.58096739426254, 48.1111698572289, 39.70535646480525
7, 92.65159466552446, 58.0981947343224, 39.66876451634942
8, 92.65159466552446, 47.3331233750509, 45.035453449410284
9, 92.65159466552446, 59.17160439819379, 43.02320899900676
10, 92.65159466552446, 44.46621848966518, 45.83079551329309
11, 91.69985882300521, 57.44855930938469, 44.067560015246386
12, 92.65159466552446, 60.34435403782735, 42.011769464149445
13, 92.65159466552446, 54.055324359253746, 45.27721423911005
14, 92.6892874188663, 58.894099850636806, 42.988929468978135
15, 92.6892874188663, 62.61026192867803, 42.18286136805543
16, 92.8057819505209, 71.34412488990635, 36.131285004746026
17, 92.6892874188663, 58.742092936322635, 42.744567205630524
18, 92.6892874188663, 75.56981834473056, 32.591159910640215
19, 92.65159466552446, 60.63620891662426, 42.385163400912745
20, 92.65159466552446, 60.98452949298627, 41.38435931474512
21, 92.79477266501252, 59.19128887659717, 42.514435133018715
22, 92.79842897621563, 62.987272829740256, 40.9320712026362
23, 92.65159466552446, 58.303180240870844, 42.99656030910912
24, 92.85563685584063, 56.445927818818426, 43.62171818704173
25, 92.65159466552446, 67.15294768268184, 39.042710340587426
26, 92.65159466552446, 67.8816582774742, 38.441925158667985
27, 92.65159466552446, 63.20108953984767, 39.99319276263091
28, 92.65159466552446, 71.9107353107085, 35.167331523759444
29, 92.65159466552446, 63.50161417908002, 40.80319686390162
30, 92.65159466552446, 62.55813734888146, 42.021958072013696
31, 92.65159466552446, 66.851573448107, 39.32677106390768
32, 92.65159466552446, 68.28009925907797, 38.21181888730851
33, 92.65159466552446, 67.57082052968302, 38.177978136507804
34, 92.65159466552446, 60.04914604599867, 41.39191451920976
35, 92.65159466552446, 65.59452485197357, 38.94501198368228
36, 92.65159466552446, 68.10267343522901, 36.858447509930535
37, 92.65159466552446, 75.68060713926225, 32.110742467159206
38, 93.78967142474674, 67.4938451234818, 37.426828086749666
39, 93.78967142474674, 65.5833971974375, 40.381924927886324
40, 93.78967142474674, 80.40314793001369, 26.61620116276232
41, 93.78967142474674, 72.19201474281053, 35.04607729755573
42, 92.65159466552446, 71.22764235297385, 34.90857001231312
43, 93.78967142474674, 76.0192150812256, 30.041329444321608
44, 93.78967142474674, 75.54738980521907, 31.54458621587606
45, 93.79492078063289, 77.10328336595926, 29.352543451421834
46, 93.78967142474674, 70.22694550848546, 35.33222494230809
47, 93.79492078063289, 80.25914607523852, 25.599284292194884
48, 93.79492078063289, 71.46479713895606, 34.69092713220229
49, 93.79492078063289, 73.94946340310602, 32.25677645627827
